q0,q1,q10,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q11,q110,q111,q112,q113,q114,q115,q116,q117,q118,q119,q12,q120,q121,q122,q123,q124,q125,q126,q127,q128,q129,q13,q130,q131,q132,q133,q134,q135,q136,q137,q138,q139,q14,q140,q141,q142,q143,q144,q145,q146,q147,q148,q149,q15,q150,q151,q152,q153,q154,q155,q156,q157,q158,q159,q16,q160,q161,q162,q163,q164,q165,q166,q167,q168,q169,q17,q170,q171,q172,q173,q174,q175,q176,q177,q178,q179,q18,q180,q181,q182,q183,q184,q185,q186,q187,q188,q189,q19,q190,q191,q192,q193,q194,q195,q196,q197,q198,q199,q2,q20,q200,q201,q202,q203,q204,q205,q206,q207,q208,q209,q21,q210,q211,q212,q213,q214,q215,q216,q217,q218,q219,q22,q220,q221,q222,q223,q224,q225,q226,q227,q228,q229,q23,q230,q231,q232,q233,q234,q235,q236,q237,q238,q239,q24,q240,q241,q242,q243,q244,q245,q246,q247,q248,q249,q25,q250,q251,q252,q253,q254,q255,q256,q257,q258,q259,q26,q260,q261,q262,q263,q264,q265,q266,q267,q268,q269,q27,q270,q271,q272,q273,q274,q275,q276,q277,q278,q279,q28,q280,q281,q282,q283,q284,q285,q286,q287,q288,q289,q29,q290,q291,q292,q293,q294,q295,q296,q297,q298,q299,q3,q30,q300,q301,q302,q303,q304,q305,q306,q307,q308,q309,q31,q310,q311,q312,q313,q314,q315,q316,q317,q318,q319,q32,q320,q321,q322,q323,q324,q325,q326,q327,q328,q329,q33,q330,q331,q332,q333,q334,q335,q336,q337,q338,q339,q34,q340,q341,q342,q343,q344,q345,q346,q347,q348,q349,q35,q350,q351,q352,q353,q354,q355,q356,q357,q358,q359,q36,q360,q361,q362,q363,q364,q365,q366,q367,q368,q369,q37,q370,q371,q372,q373,q374,q375,q376,q377,q378,q379,q38,q380,q381,q382,q383,q384,q385,q386,q387,q388,q389,q39,q390,q391,q392,q393,q394,q395,q396,q397,q398,q399,q4,q40,q400,q401,q402,q403,q404,q405,q406,q407,q408,q409,q41,q410,q411,q412,q413,q414,q415,q416,q417,q418,q419,q42,q420,q421,q422,q423,q424,q425,q426,q427,q428,q429,q43,q430,q431,q432,q433,q434,q435,q436,q437,q438,q439,q44,q440,q441,q442,q443,q444,q445,q446,q447,q448,q449,q45,q450,q451,q452,q453,q454,q455,q456,q457,q458,q459,q46,q460,q461,q462,q463,q464,q465,q466,q467,q468,q469,q47,q470,q471,q472,q473,q474,q475,q476,q477,q478,q479,q48,q480,q481,q482,q483,q484,q485,q486,q487,q488,q489,q49,q490,q491,q492,q493,q494,q495,q496,q497,q498,q499,q5,q50,q51,q52,q53,q54,q55,q56,q57,q58,q59,q6,q60,q61,q62,q63,q64,q65,q66,q67,q68,q69,q7,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q8,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q9,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99
u0,,,,,,,,,,60.41271899810674,,,,,,,,,,,,,,,,,0.0,,,0.0,,44.552573620118395,,,,,51.59414174475325,,,,,,48.24041474585066,,45.46459049188826,,,,,,,,,,,,,,56.579018922878205,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,53.50956159357173,,51.44060058931672,,,38.244530397501784,,,,,,,,55.08628057429804,,,,,,,,,,,,,,,,,,,,,,,,54.97997141615814,,,,,,,47.048417602178866,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.28902427981744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,49.94599806487715,,,,,,,,0.0,,,,,45.11157877490796,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,50.37357480982876,,,,,,,,,,,,,,,,,,,51.502031607991164,,49.60960029404094,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,54.292665623347986,,,,,49.85439201927545,,,,53.686893926321936,,44.708981051750115,,,,49.87876471382654,,,,,65.70378732234586,,,,,,,43.68990828453454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.66811752561524,,0.0,0.0,,,,47.66811752561524,,,,,,,,,,,,,,0.0,,,,,,,,,53.280186464900275,,,45.8620326066943,,50.654201631752024,46.23860003705362,,,
u1,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,50.19033705709144,,0.0,,,,,44.38685819732255,,,,,,,,,,0.0,,,47.95956691980903,,,,,51.97428807177274,,,,,56.36652400924235,,,,,,,,,,,,,,,,52.506097369674144,,,,57.18025492501257,,,,,,,,,,43.55574230573806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.33541553163695,,,,,,47.43959683772004,,,0.0,,,,,,,,,,,,60.2397484369491,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,62.23365177345496,,,47.04970772832659,,,,,,,46.403781735357214,,,,,,,0.0,,,,,,,,,,,,,,,,,,,47.641507470221455,,,,,,,,,,,,,,,,,,46.7538244804758,,,,,43.75492382184203,,,,,,,0.0,,,,,,,,,51.64865138596983,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,51.286129923694055,,,,,,,,,,,,,55.311215372472205,,,,,57.17483981981893,,,,,,,,,,,0.0,,,,,,,,,,,,,,48.10564977981242,,,,,52.17747265149435,,,,0.0,,49.3354642819313,47.546577421036524,,,,,,,,,,,,,,47.47051959039714,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,52.21242527356311,,,43.023448085023446,,,57.619433580903866,,,,,,,,,,,,,,,,,,,55.305411749487455,,,0.0,,56.5072400973553,,,,,,,,,,,,,,,,
u2,,,,,,,,,,54.06036830331959,52.508152486432905,,,,,0.0,,,,,,0.0,,,,,,,0.0,0.0,42.93150054697098,,,,,,,,,,,,,55.25497171750175,,,,,,,,,,,,,47.78409569722416,,,48.441087354055085,,,,,,,,,,,,,,0.0,,,,,,,,52.13649080486466,,43.48726799697146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,46.414920113211714,,,,,,,,,,44.53226454745228,,,,,,,,,47.67501505203451,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,50.75790689115481,,,,,,,,,57.7601329512954,,,,,,,,,,,,,,,,,,54.06076607295078,,,,,,,,,,,,,,57.65557893749869,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,52.20004096012893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.13821457082104,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.480805310971505,,,,,,,,,,,,,,50.1926841506824,,,,,47.18726672407116,,,,,,,,,58.77102726140808,,,,,,,,,,,,,,,,,57.619523766666596,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,51.274760846544694,,,,,,,,,,,,,,,52.14728980268515,,53.019586931211386,49.5086494403303,,,0.0,,39.35219690009161,,,,,,,,,,,
u3,,45.740530698542656,,0.0,,,,,,,,,,,41.27109808199219,,,,,,,,,,,0.0,,,,,,,,,50.99912934741682,,,,,,,0.0,,,,,,56.041519500161456,,50.25673646798483,48.576723353138696,,,,,,,39.6418926490011,,,,,,,,,,,,,40.54027135268494,,,0.0,46.387300240691275,,,,,,,,,,50.119793966261,,,,,,,,,,0.0,,,43.09297744120475,,,,,,,,,,,,,,,,0.0,56.21150757143251,61.39239168762329,,,,,,,0.0,,,,,,,,,,,,,,,59.86557918758635,,,,,57.29783184384615,51.639778159823976,,,,,,,,,,48.91716312230898,,,,,,,,50.7489515813155,,,,50.253895396667936,,,,,,,,,,0.0,54.835502718331895,,,,53.77836244011036,,,50.73712911355247,,,,,,,,,52.421881942586495,,,,,,,,,,,,,,,,,,,,,,,47.57669361008981,,,,,,,50.79194897340467,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,46.79563195891612,,,,0.0,,,,,,0.0,43.11324919362693,,,,,,,,,0.0,53.78969310398999,,48.08764762918783,,,,,0.0,,,,,,,,,58.762950006903324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.043267475948376,,,,,,,,,,47.90989272561712,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,47.51951162616746,,,,,,,0.0,,,,,0.0,,,,53.40116450511071,,,,,,,,,,,,,,53.2818776672133,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,49.04004246858694,,,,,,,,,,,,,,,,,,,,,,,,,
u4,,,,,,54.6513669990639,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,47.81707129315235,,,,,,,,,,,,55.1964989385268,,,,,,,,,,,,,,,,,,,,,60.556462354085525,,,,,,,56.17279219689978,,,,45.79792873179809,46.25666810569944,,,52.16230310865791,,,,0.0,,,,,,,0.0,,44.86642003498337,,,0.0,,,,,,,,,,,,,,,,,53.86957995386851,,0.0,,,,,,,,,0.0,,,53.925054364085426,,50.07730350869099,,,,,,,,,0.0,,,,,,,,,,,,,48.34946746420115,,,,,44.794447623580666,,,,,,,,,,,,,,,,,,,,,,,,53.7924128798165,,,,,,,,,,,,,,,,0.0,52.17160023954155,,,,,47.18178342131869,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,51.05604788724958,,,,,,,,,,,,,,48.91481544625213,,,,,,,0.0,,0.0,,,,,,,,44.52296639175663,,,,,,,,,,,,44.49188079709124,,,,,,0.0,,,,,,,,,38.07640315923088,,0.0,,,,,,,,,,,,,48.73316102940547,,,47.69486731431846,,,,,,,,,,,57.74209183819885,46.84865902694058,62.47940331308191,,,,,,,,,,,,,,,,,56.80744441480182,,,,,53.9665976505796,,,,,49.4588699242479,,,,47.49781540464532,,,,,,,,,,,,,,0.0,,0.0,,48.91481544625213,,,,,,,,,,,,,,,50.426209542964294,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,47.34882471745098,,,,,51.932852479538205,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,53.465362242467776,,0.0,,,,,,,,,,,61.81567329392127,,0.0,,,,,,,,,,,,45.08941325495823,,,,,56.868121578998654,,,,0.0,,,,,48.67051680686356,,,54.37745020872998,,
u5,,,,,,,,,,,,,0.0,,,,,,,49.3282393219509,,,,,,,,,,0.0,,,,,47.308794089825284,0.0,,,46.01074643823072,,0.0,,,,,,,,,,,47.434283880480294,35.86818949346977,,,,,,49.75717819347831,,,,,,,,,,,,,,,,,57.66472329261887,,,,47.38585419456345,,,,,,,,,,,,,45.8652543435069,,,,,,,0.0,49.29410040680346,,,,,,,,,,,,,,48.58553308339016,,,,,,,,,,,,,,,,,,,,,,,,,,38.4536241316727,,49.47583631758099,,,,,,,,,,,,48.579733008213196,,,,,,,,,,,,42.765870896241374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.715331884521525,,53.352775231276645,,,,,,,,45.99169975314758,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,52.8966775392877,,,,,,,,,,43.2406891540792,,,,,,,,,,,,,51.18249701786466,,54.50730424788761,,,,,,,,,,,48.268754649752104,52.605585352981876,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,53.656234577218285,,,54.191913085877566,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.07015297355801,,,,,,,,,37.09695426801682,,,,,,,,,,,,,,,,,,,,0.0,,58.21025654341074,,,,46.543706613880296,,,,,,,0.0,,,,58.89636011600571,,,,,,44.57611607586727,,0.0,,,,,,,,,,,,,,,,53.402615077458,,,,,,,,,,,46.674947033735755,,,,,0.0,,,,49.3100570307998,0.0,,,,,0.0,,,,46.78999708803241,,,,,63.194655724430504,,,55.17040364752888,,48.21197147013795,,,,,,47.4721574044853,,,,0.0,,,,,,,54.74794074172407,,,,,,
u6,,53.453410450473285,,0.0,,,,,,,44.99858024816253,,,,,,,,,50.14732354429952,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.58329087529318,,,,,,,,,58.743408779658154,,,,,,,,,,,,51.8190233473729,,,,,,54.60263403891692,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,40.902435434500774,,,,,,,,,,,,,,,,,,,,,,,,,,,54.597624123653084,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.57932441794678,55.77411097699446,,,,,,,0.0,,50.320274834422435,,,,,,,,,,,,,,,,48.2414319905365,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,49.62849966861212,,,,,,,57.00569688009974,,,,,,,,,,,,,,,,,,,,,,,,,51.24291401781768,,,,,41.77368382904122,,,41.750914968650356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,53.021892195521346,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,55.62757486279671,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,48.83296089902531,,,,,,,,,47.81083866700876,,,,,52.740457446912714,,,,41.868646014094516,,49.03873994919672,,,,,,,,,,,,51.67498086368362,,,,,,,,,,,,,,,,,,,,,,,54.38034176346322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.403797721974406,,0.0,50.955100970291966
u7,56.05887984853581,,,,,,,,,,,,,,,,,,,57.69569972455553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.501159320613525,,,,,,,,,,,,,,,,,,0.0,,,,,,52.379512845440935,,,,,55.03231329371806,,,,47.220340548766494,,,,,,,48.12263858959309,,,,,,,,,,,,0.0,,,,,,,,47.55044660426459,,,,,,,0.0,,,,0.0,,,,,,,,,,,57.538738866916866,,,,,,48.264663844975345,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,48.098332444055835,,44.68194639280299,,,,,,,,,,,,,,,49.949327099097474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.034911644152,,,,,,,,,45.094647529497585,,,,,,,,,53.329779156356246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,53.28661895386541,,47.45335345274506,,,,,,,48.2610939168985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,53.22114188492377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,43.10561630061936,0.0,,,,,49.21469275196336,,,,,,,,,,,,,,,,54.45778475536348,,,,,,,48.195871189168464,,,,,,,,,,,,,,,,,,,,,,,,,50.58897865688094,,,,,,,,,,,,,,,,,,,,,40.30857598649979,,,,,,,,,,,,,,,,,,,,,,,,,,,53.637856219311054,,,,,,,,,,,50.8523138420158,,51.765713558965345,,,,,,,,,,,49.474811704130964,,,
u8,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,50.317422602445085,,,,,,,,,,,,,,,,,,,,53.96137949693019,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,54.32328433658793,,,,,,,,,,,,,,,,53.006812159272776,,,,,,,,,,,,,,,,,53.26268553511979,,,,,,,,,,,48.76380208000912,,,47.85865698418267,,,,,,,,,0.0,,,,,52.592805976133334,,,,,48.92525015795898,,,,,,,45.80725134735413,,,,,,,,,,,,,53.6539452260654,,,,,,,,,54.34733513078589,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,47.756389610285225,,,,,,,,,,,,,,,0.0,,,,,,,47.011644517259384,,47.218296410180535,,,,53.25004057970589,,0.0,,,,,,,,,,,,,,,,,46.237201568743075,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,50.505287738532935,,,,,,,,,,0.0,,,,,,,,,,,,45.058441265275995,51.71879738920524,,,,,,,,,,,,,,56.22956790019202,,,,,,,,,,,,,,,,,,,,48.91410091770705,,,,,,,,54.03817777130831,,,,,,,43.59458192141063,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,53.47546958358196,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.07175098608816,,,,,50.26565233870689,,59.878202123048936,,,,
u9,,,,,,,,,62.709536675647364,,,,,47.98205923496742,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,47.05099095354085,,,,,,,,,,,,,,,,53.753398693166034,,40.05743585300951,,,45.093642998857455,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,42.83654280547125,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,0.0,43.57352280234326,46.29293188987916,,,,,,,,,48.576638828338645,,0.0,,,,,,,,,44.08973982530063,,,,,47.24022260458703,,,,50.68274056424437,,,,,,,,,,,,,,,,50.15360506129763,,,,,,,,,47.12333845277915,,,,,,,,,,,,,,,,,53.75753264338774,,,,,,,,,,,,,,54.78443790695842,50.47837784267643,,,,,,54.885483042552416,,44.52000149010274,,,,,,,0.0,48.102496523238045,,,,,,,,,,,,,,,49.58804740357787,,47.18141111336672,,,,,,,,,,,,,,58.627807904487305,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.723326963106274,,,,,,,,,,42.61715695966707,43.9729350111033,,,,,,0.0,,,,,,,,,45.854953442133564,,,,,,,,,,,,,,,,,,48.84756028735446,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,56.343162111416646,54.73465119593016,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,56.56318873057961,,,55.119592738326325,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.990370191806406,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
